group,pop
.Under 5 years,20201362
.5 to 9 years,20348657
.10 to 14 years,20677194
.15 to 19 years,22040343
.20 to 24 years,21585999
.25 to 29 years,21101849
.30 to 34 years,19962099
.35 to 39 years,20179642
.40 to 44 years,20890964
.45 to 49 years,22708591
.50 to 54 years,22298125
.55 to 59 years,19664805
.60 to 64 years,16817924
.65 to 69 years,12435263
.70 to 74 years,9278166
.75 to 79 years,7317795
.80 to 84 years,5743327
.85 years and over,5493433
